"","country","2019","2020","2021","2022"
"1","Austria",8879920,8916864,8955797,9042528
"2","Belgium",11488980,11538604,11592952,11669446
"3","Bulgaria",6975761,6934015,6877743,6465097
"4","Cyprus",1228836,1237537,1244188,1251488
"5","Czechia",10671870,10697858,10505772,10526073
"6","Germany",83092962,83160871,83196078,84079811
"7","Denmark",5814422,5831404,5856733,5903037
"8","Spain",47134837,47365655,47415750,47615034
"9","Estonia",1326898,1329522,1330932,1344768
"10","European Union",447367191,447692315,447179800,447956050
"11","Finland",5521606,5529543,5541017,5556880
"12","France",67388001,67571107,67749632,67935660
"13","Greece",10721582,10698599,10641221,10566531
"14","Croatia",4065253,4047680,3879000,3854000
"15","Hungary",9771141,9750149,9709891,9683505
"16","Ireland",4934340,4985382,5033165,5086988
"17","Italy",59729081,59438851,59109668,58856847
"18","Lithuania",2794137,2794885,2800839,2833000
"19","Luxembourg",620001,630419,640064,650774
"20","Latvia",1913822,1900449,1884490,1883379
"21","Malta",504062,515332,518536,523417
"22","Netherlands",17344874,17441500,17533044,17703090
"23","Poland",37965475,37899070,37747124,37561599
"24","Portugal",10286263,10297081,10325147,10379007
"25","Romania",19371648,19265250,19119880,18956666
"26","Slovak Republic",5454147,5458827,5447247,5431752
"27","Slovenia",2088385,2102419,2108079,2108732
"28","Sweden",10278887,10353442,10415811,10486941
